date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:48:29	1702/1702	---M-Z	200	added ('OK')	application/javascript	etag:%2207852df054061e15a0356ba372c6ed99%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/4d2b39f340acaeab/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/4d2b39f340acaeab/script.js	(from https://judupuis.godaddysites.com/)
17:48:30	1170/1170	---M-Z	200	added ('OK')	application/javascript	etag:%22ae0fff8a1286ec0f38177960295e36a5%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/5cce30771e56d4c1/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/5cce30771e56d4c1/script.js	(from https://judupuis.godaddysites.com/)
17:48:30	11891/11891	---M-Z	200	added ('OK')	application/javascript	etag:%2252ef5c943baad21:0%22	http://img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	(from https://judupuis.godaddysites.com/)
17:48:30	8107/8107	---M-Z	200	added ('OK')	text/css	etag:%22270a0f79ce856f104e7fb2fe74d9591d%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/da69bd569ecc5954/styles.css	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/da69bd569ecc5954/styles.css	(from https://judupuis.godaddysites.com/a-propos)
17:48:30	1309/1309	---M-Z	200	added ('OK')	text/css	etag:%22b59a29580e66316d61e25c062f601ed9%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/22548a366bc9db62/styles.css	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/22548a366bc9db62/styles.css	(from https://judupuis.godaddysites.com/a-propos)
17:48:31	1464/1464	---M-Z	200	added ('OK')	text/css	etag:%22e73c8c8a8ac840995b25903e21030d75%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/ed4cab70d2f8b609/styles.css	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/ed4cab70d2f8b609/styles.css	(from https://judupuis.godaddysites.com/a-propos)
17:48:31	1726/1726	---M-Z	200	added ('OK')	application/javascript	etag:%221df934023d6d82fbe6bfc041f9aa9a61%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/50cd01a42abe3970/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/50cd01a42abe3970/script.js	(from https://judupuis.godaddysites.com/a-propos)
17:48:31	2987/2987	---M-Z	200	added ('OK')	application/javascript	etag:%2258d249fdc8232e0b532ceed7a754e293%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/87ed71e050871137/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/87ed71e050871137/script.js	(from https://judupuis.godaddysites.com/a-propos)
17:48:32	1706/1706	---M-Z	200	added ('OK')	application/javascript	etag:%22496df9eeeb027934077d34d9f75e5d78%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/d082091190022057/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/d082091190022057/script.js	(from https://judupuis.godaddysites.com/a-propos)
17:48:32	1170/1170	---M-Z	200	added ('OK')	application/javascript	etag:%22ef29fd5883352272672e708913cabafb%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/ec280c50e196c72c/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/ec280c50e196c72c/script.js	(from https://judupuis.godaddysites.com/a-propos)
17:48:32	9523/9523	---M-Z	200	added ('OK')	text/css	etag:%22b3cc140cfa334e3e50459f976f101f7f%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/51771fe5cc4d7ed4/styles.css	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/51771fe5cc4d7ed4/styles.css	(from https://judupuis.godaddysites.com/projets)
17:48:33	1386/1386	---M-Z	200	added ('OK')	text/css	etag:%2201db7132eae0e288cdfbdee51710e45f%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/f83f28153713374d/styles.css	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/f83f28153713374d/styles.css	(from https://judupuis.godaddysites.com/projets)
17:48:33	2513/2513	---M-Z	200	added ('OK')	text/css	etag:%222efeb7d1cfeab2ebfda81eed2085d1a3%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/30071de0df264649/styles.css	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/30071de0df264649/styles.css	(from https://judupuis.godaddysites.com/projets)
17:48:33	1726/1726	---M-Z	200	added ('OK')	application/javascript	etag:%225451bfdb688840c711dead8183173c84%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/52d58843ee10c88/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/52d58843ee10c88/script.js	(from https://judupuis.godaddysites.com/projets)
17:48:34	2987/2987	---M-Z	200	added ('OK')	application/javascript	etag:%225ef2dd32f57d74fdc070d62a8df231ae%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/7bf703a0398cde0e/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/7bf703a0398cde0e/script.js	(from https://judupuis.godaddysites.com/projets)
17:48:34	1706/1706	---M-Z	200	added ('OK')	application/javascript	etag:%22fcdcf994b7d95d4aa634bb4df606778a%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/101cf996171a769f/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/101cf996171a769f/script.js	(from https://judupuis.godaddysites.com/projets)
17:48:34	8676/8676	---M-Z	200	added ('OK')	text/css	etag:%22da28d3d5d01d9f1fbd735cc34fd40591%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/37bc4eaac30da367/styles.css	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/37bc4eaac30da367/styles.css	(from https://judupuis.godaddysites.com/contact)
17:48:34	1716/1716	---M-Z	200	added ('OK')	text/css	etag:%22a640f72415610d65e0103623fdf82546%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/ed201f5056f60adc/styles.css	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/ed201f5056f60adc/styles.css	(from https://judupuis.godaddysites.com/contact)
17:48:35	1837/1837	---M-Z	200	added ('OK')	text/css	etag:%22c005c41dbab831937875eced1830b169%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/65b15ff79caeb1ac/styles.css	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/65b15ff79caeb1ac/styles.css	(from https://judupuis.godaddysites.com/contact)
17:48:35	1726/1726	---M-Z	200	added ('OK')	application/javascript	etag:%22a9b87986c55695c86b5e37f37c1724e8%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/78818e3ecd5073ad/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/78818e3ecd5073ad/script.js	(from https://judupuis.godaddysites.com/contact)
17:48:36	2987/2987	---M-Z	200	added ('OK')	application/javascript	etag:%22729df650d61d45a4982a5a09dc533e6a%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/f1f5ccacdc3e856/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/f1f5ccacdc3e856/script.js	(from https://judupuis.godaddysites.com/contact)
17:48:36	1706/1706	---M-Z	200	added ('OK')	application/javascript	etag:%2219c7bb3ed2f147d5874e51bc6d8c4945%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/eefbb11efbe42ad0/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/eefbb11efbe42ad0/script.js	(from https://judupuis.godaddysites.com/contact)
17:48:36	1170/1170	---M-Z	200	added ('OK')	application/javascript	etag:%2209efce1dfac1a4dea69ac2518a55856a%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/efea2c2bb502c320/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/efea2c2bb502c320/script.js	(from https://judupuis.godaddysites.com/contact)
17:48:37	19006/19006	---M-Z	200	added ('OK')	application/javascript	etag:%220fce6f8da4333ab4640ef22891bcf4be%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/e74cd840d22b0bb0/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/e74cd840d22b0bb0/script.js	(from https://judupuis.godaddysites.com/contact)
17:48:37	6402/6402	---M-Z	200	added ('OK')	text/css	etag:%2212495556dbef51790213aaf3ff0c7886%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/ddc7e92c22f4ad54/styles.css	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/ddc7e92c22f4ad54/styles.css	(from https://judupuis.godaddysites.com/privacy-policy)
17:48:37	1088/1088	---M-Z	200	added ('OK')	text/css	etag:%22ff10ef2c9cb0ed1faea3e054d7b3da6f%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/7ee62980967cea6a/styles.css	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/7ee62980967cea6a/styles.css	(from https://judupuis.godaddysites.com/privacy-policy)
17:48:37	1403/1403	---M-Z	200	added ('OK')	text/css	etag:%2258354130adb4b1c76e506f65130fe20f%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/ca830b48818b9065/styles.css	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/ca830b48818b9065/styles.css	(from https://judupuis.godaddysites.com/privacy-policy)
17:48:38	1726/1726	---M-Z	200	added ('OK')	application/javascript	etag:%22487865e6730ae8f7c20d9c65ff9db5b3%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/ec9f5a5b27d53d19/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/ec9f5a5b27d53d19/script.js	(from https://judupuis.godaddysites.com/privacy-policy)
17:48:38	2988/2988	---M-Z	200	added ('OK')	application/javascript	etag:%220caabb9896f8cae0fdee92a42ed49384%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/a0d9e60cdaab9260/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/a0d9e60cdaab9260/script.js	(from https://judupuis.godaddysites.com/privacy-policy)
17:48:38	1706/1706	---M-Z	200	added ('OK')	application/javascript	etag:%220d95c1b8abd3cde8caa7ea43c90efce4%22	http://img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/79aef5b84c74026a/script.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/blobby/go/f0800492-ce65-4f6c-9bad-8a5cc0515c4b/gpub/79aef5b84c74026a/script.js	(from https://judupuis.godaddysites.com/privacy-policy)
17:48:39	735863/735863	---M-Z	200	added ('OK')	application/javascript	etag:%226010b3f8a4970453942e4282fbcbf30d%22	http://img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.3.71.5.js	C:/My%20Web%20Sites/dl2/img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.3.71.5.js	(from https://judupuis.godaddysites.com/)
